Cell	Target	Treatment	Duration	Replicate	Replicate.2	Run	SRR	ControlSRX	ControlName	Raw	Library	Concat
HepG2	Control	-	-	1	1	U	SRR5331185	SRX2630153	ENCSR055XHN	ENCSR055XHN.1	Single	ENCSR055XHN.1.control.U
HepG2	Control	-	-	1	2	U	SRR5331186	SRX2630153	ENCSR055XHN	ENCSR055XHN.1	Single	ENCSR055XHN.1.control.U
HepG2	Control	-	-	1	3	U	SRR5331187	SRX2630154	ENCSR055XHN	ENCSR055XHN.1	Single	ENCSR055XHN.1.control.U
HepG2	Control	-	-	1	4	U	SRR5331188	SRX2630154	ENCSR055XHN	ENCSR055XHN.1	Single	ENCSR055XHN.1.control.U
HepG2	Control	-	-	2	1	U	SRR5331189	SRX2630155	ENCSR055XHN	ENCSR055XHN.2	Single	ENCSR055XHN.2.control.U
HepG2	Control	-	-	2	2	U	SRR5331190	SRX2630155	ENCSR055XHN	ENCSR055XHN.2	Single	ENCSR055XHN.2.control.U
HepG2	Control	-	-	2	3	U	SRR5331191	SRX2630155	ENCSR055XHN	ENCSR055XHN.2	Single	ENCSR055XHN.2.control.U
HepG2	Control	-	-	2	4	U	SRR5331192	SRX2630155	ENCSR055XHN	ENCSR055XHN.2	Single	ENCSR055XHN.2.control.U
HepG2	Control	-	-	2	5	U	SRR5331193	SRX2630155	ENCSR055XHN	ENCSR055XHN.2	Single	ENCSR055XHN.2.control.U
HepG2	Control	-	-	2	6	U	SRR5331194	SRX2630155	ENCSR055XHN	ENCSR055XHN.2	Single	ENCSR055XHN.2.control.U
HepG2	Control	-	-	3	1	U	SRR5331195	SRX2630156	ENCSR055XHN	ENCSR055XHN.3	Single	ENCSR055XHN.3.control.U
HepG2	Control	-	-	3	2	U	SRR5331196	SRX2630156	ENCSR055XHN	ENCSR055XHN.3	Single	ENCSR055XHN.3.control.U
HepG2	Control	-	-	1	1	U	SRR502611	SRX150683	SRX150683	SRX150683.1	Single	SRX150683.1.control.U
A549	Control	dex	0h	1	1	U	SRR5093143	SRX2409976	SRX2409976	SRX2409976.1	Single	SRX2409976.1.control.U
A549	Control	dex	0h	2	1	U	SRR5093144	SRX2409977	SRX2409977	SRX2409977.2	Single	SRX2409977.2.control.U
A549	Control	dex	0h	3	1	U	SRR5093145	SRX2409978	SRX2409978	SRX2409978.3	Single	SRX2409978.3.control.U
A549	Control	dex	8h	1	1	U	SRR5093376	SRX2410202	SRX2410202	SRX2410202.1	Single	SRX2410202.1.control.U
A549	Control	dex	8h	2	1	U	SRR5093377	SRX2410203	SRX2410203	SRX2410203.2	Single	SRX2410203.2.control.U
A549	Control	dex	8h	3	1	U	SRR5093378	SRX2410204	SRX2410204	SRX2410204.3	Single	SRX2410204.3.control.U
K562	Control	-	-	1	1	R1	SRR5111209	SRX2423562	SRX2423562	SRX2423562.1	Paired	SRX2423562.1.control.R1
K562	Control	-	-	1	1	R2	SRR5111209	SRX2423562	SRX2423562	SRX2423562.1	Paired	SRX2423562.1.control.R2
K562	Control	-	-	2	1	R1	SRR5111210	SRX2423563	SRX2423563	SRX2423563.2	Paired	SRX2423563.2.control.R1
K562	Control	-	-	2	1	R2	SRR5111210	SRX2423563	SRX2423563	SRX2423563.2	Paired	SRX2423563.2.control.R2
LNCaP	Control	dht	-	1	1	U	SRR643604	SRX213872	SRX213872	SRX213872.1	Single	SRX213872.1.control.U
LNCaP	Control	-	-	1	1	U	SRR1015790	SRX367193	SRX367193	SRX367193.1	Single	SRX367193.1.control.U
LNCaP	Control	-	-	1	2	U	SRR1015791	SRX367193	SRX367193	SRX367193.1	Single	SRX367193.1.control.U
LNCaP	Control	-	-	1	1	U	SRR3728865	SRX1885197	SRX1885197	SRX1885197.1	Single	SRX1885197.1.control.U
LNCaP	Control	-	-	1	2	U	SRR3728866	SRX1885197	SRX1885197	SRX1885197.1	Single	SRX1885197.1.control.U
LNCaP	Control	-	-	2	1	U	SRR3728867	SRX1885198	SRX1885198	SRX1885198.2	Single	SRX1885198.2.control.U
LNCaP	Control	-	-	2	2	U	SRR3728868	SRX1885198	SRX1885198	SRX1885198.2	Single	SRX1885198.2.control.U
LNCaP	Control	-	-	1	1	U	SRR7192358	SRX4108929	SRX4108929	SRX4108929.1	Single	SRX4108929.1.control.U
K562	Control	-	-	1	1	U	SRR5331213	SRX2630170	ENCSR000AKY	ENCSR000AKY.1	Single	ENCSR000AKY.1.control.U
K562	Control	-	-	2	1	U	SRR5331211	SRX2630169	ENCSR000AKY	ENCSR000AKY.2	Single	ENCSR000AKY.2.control.U
K562	Control	-	-	2	2	U	SRR5331212	SRX2630169	ENCSR000AKY	ENCSR000AKY.2	Single	ENCSR000AKY.2.control.U
